,SMILES,NMR Acceptor Number (AN),Water Exchange Rate (WERC),pK$_h$,Electrostatic Acceptor Number (E$_a$),Covalent Acceptor Number (C$_a$),Infrared Xanthone Complexes (IrX),Infrared TPPO Complexes (IrTPPO),Infrared EthylAcetate Complexes (IrAcOEt),Oxidation Peak (Ox),Complexing Power (CP)
185,Nc1cccc(B2OB(c3cccc(N)c3)O[Si](c3ccccc3)(c3ccccc3)O[Si](c3ccccc3)(c3ccccc3)O2)c1,50.0,,,,,,,,,
186,CCCCB1OB(CCCC)O[Si](c2ccccc2)(c2ccccc2)O[Si](c2ccccc2)(c2ccccc2)O1,46.0,,,,,,,,,
187,CCCCCCCC[Si]1(C)OB(c2ccccc2)O[Si](C)(CCCCCCCC)OB(c2ccccc2)O1,47.0,,,,,,,,,
188,CCCCCCCC[Si]1(C)OB(c2ccc(Br)cc2)O[Si](C)(CCCCCCCC)OB(c2ccc(Br)cc2)O1,52.0,,,,,,,,,
189,CCCC[Sn](CCCC)(CCCC)OB(O[Sn](CCCC)(CCCC)CCCC)c1ccccc1,30.0,,,,,,,,,
190,CCCC[Sn](CCCC)(CCCC)OB(O[Sn](CCCC)(CCCC)CCCC)c1ccc(Br)cc1,30.0,,,,,,,,,
191,CN(C)B(N(C)C)N(C)C,9.0,,,,,,,,,
192,Fc1cc(B(c2cc(F)c(F)c(F)c2F)c2cc(F)c(F)c(F)c2F)c(F)c(F)c1F,78.9,,,,,,,,,
193,Fc1c(F)c(F)c(-c2c(F)c(F)c(F)c(F)c2B(c2c(F)c(F)c(F)c(F)c2-c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2-c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,87.9,,,,,,,,,
194,Fc1c(F)c(F)c(B(c2c(F)c(F)c(F)c(F)c2F)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(F)c1F,75.3,,,,,,,,,
195,Fc1c(F)c(F)c(B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(F)c1F,72.3,,,,,,,,,
196,CC(C)(C)P(c1c(F)c(F)c(F)c(B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c1F)C(C)(C)C,73.1,,,,,,,,,
197,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)c2c(F)c(F)c(F)c(B(c3c(F)c(F)c(F)c(F)c3F)c3c(F)c(F)c(F)c(F)c3F)c2F)c(C)c1,77.0,,,,,,,,,
198,FC(F)(F)c1cc(C(F)(F)F)c(Bc2c(C(F)(F)F)cc(C(F)(F)F)cc2C(F)(F)F)c(C(F)(F)F)c1,83.3,,,,,,,,,
