;SMILES;FIA;FIA (COSMO);AN;WERC;pKh;Ea;Ca;Yield;Excess_AvsB;Cook1963;Frazer1962;Lappert;50microA_CH2Cl2;50microA_DMF;Delta_Epa_Maity;Delta_E1/2_DPV_Maity;Complexing_power;Potentiel_pic_3eq;Potentiel_pic_1eq;Equivalents;In Silico Beckett-Childs
122;[Br-].[Br-].[Br-].[Fe+3];;;;;;;;;;154.0;;;;;;;;;;;
123;[Br-].[Br-].[Br-].[Ga+3];436.0;;;;;;;;;;;;;;;;;;;;
124;[Br-].[Br-].[Br-].[In+3];467.0;;;;;;;;;;;107.0;;;;;;;;;
125;[Br-].[Br-].[Ca+2];;;;;;;;;;52.0;;;;;;;;;;;
126;[Br-].[Br-].[Cd+2];;;;;;;;;;;-35.0;;;;;;;;;;
127;[Br-].[Br-].[Hg+2];;;;;;;;;;54.0;-34.0;;;;;;;;;;
128;[C-]#[O+].[C-]#[O+].[Cl-].[Rh+];;;;;;8.72;2.02;;;;;;;;;;;;;;
129;[C-]1C=CC=C1.[Ge+2];761.0;;;;;;;;;;;;;;;;;;;;
130;[C-]1C=CC=C1.[Pb+2];698.0;;;;;;;;;;;;;;;;;;;;
131;[C-]1C=CC=C1.[Sn+2];738.0;;;;;;;;;;;;;;;;;;;;
132;[CH3+];1112.0;501.0;;;;;;;;;;;;;;;;;;;
133;[Ca+2];;;61.3;50.0;12.85;;;;;;;;-1465;-1.44;0.19;107.0;0.5;-1.24;-1.21;2;11
134;[Ca+2].[Cl-].[Cl-];;;;;;;;;;47.0;;;;;;;;-1.67;-1.67;8;
135;[Cd+2];;;60.5;100.0;10.08;;;;;;;;;;0.27;148.0;1.3;;;;
136;[Cd+2].[Cl-].[Cl-];;;;;;;;;;34.0;-14.0;;;;;;;;;;
137;[Ce+3];;;63.3;270.0;8.3;;;;;;;;;;;;;;;;
138;[Ce+4];;;82.1;;;;;;;;;;;;;;;;;;
139;[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[W+6];;;;;;;;69.0;-14.0;;;;;;;;;;;;
